team_two,match_number,start_time,team_one
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMzkM,2012-04-29 16:00:00,team_delhi
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDAM,2012-04-29 20:00:00,team_mumbai
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDEM,2012-04-30 20:00:00,team_chennai
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDIM,2012-05-01 16:00:00,team_hyderabad
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDMM,2012-05-01 20:00:00,team_rajasthan
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDQM,2012-05-02 20:00:00,team_bangalore
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDUM,2012-05-03 16:00:00,team_pune
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDYM,2012-05-04 20:00:00,team_chennai
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDcM,2012-05-05 16:00:00,team_kolkata
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDgM,2012-05-05 20:00:00,team_punjab
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNDkM,2012-05-06 16:00:00,team_mumbai
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTAM,2012-05-06 20:00:00,team_bangalore
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTEM,2012-05-07 20:00:00,team_delhi
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTIM,2012-05-08 16:00:00,team_pune
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTMM,2012-05-08 20:00:00,team_hyderabad
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTQM,2012-05-09 20:00:00,team_mumbai
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTUM,2012-05-10 16:00:00,team_hyderabad
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTYM,2012-05-10 20:00:00,team_rajasthan
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTcM,2012-05-11 20:00:00,team_pune
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTgM,2012-05-12 16:00:00,team_kolkata
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNTkM,2012-05-12 20:00:00,team_chennai
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjAM,2012-05-13 16:00:00,team_rajasthan
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjEM,2012-05-13 20:00:00,team_punjab
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjIM,2012-05-14 16:00:00,team_bangalore
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjMM,2012-05-14 20:00:00,team_kolkata
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjQM,2012-05-15 20:00:00,team_delhi
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjUM,2012-05-16 20:00:00,team_mumbai
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjYM,2012-05-17 16:00:00,team_punjab
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjcM,2012-05-17 20:00:00,team_delhi
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjgM,2012-05-18 20:00:00,team_hyderabad
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNjkM,2012-05-19 16:00:00,team_punjab
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNzAM,2012-05-19 20:00:00,team_pune
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNzEM,2012-05-20 16:00:00,team_hyderabad
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfNzIM,2012-05-20 20:00:00,team_rajasthan
