role,name,key,team
Batsman,Mahela Jayawardene,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNDYM,team_delhi
Allrounder,Glenn Maxwell,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNDcM,team_delhi
Bowler,Morne Morkel,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNDgM,team_delhi
Bowler,Shahbaz Nadeem,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNDkM,team_delhi
Allrounder,Yogesh Nagar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTAM,team_delhi
Middle-order batsman,Prashant Naik,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTEM,team_delhi
Allrounder,Pawan Negi,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTIM,team_delhi
Wicketkeeper batsman,Naman Ojha,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTMM,team_delhi
Allrounder,Irfan Pathan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTQM,team_delhi
Top-order batsman,Kevin Pietersen,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTUM,team_delhi
Batsman,Kuldeep Raval,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTYM,team_delhi
Allrounder,Andre Russell,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTcM,team_delhi
Bowler,Aavishkar Salvi,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTgM,team_delhi
Middle-order batsman,Ross Taylor,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNTkM,team_delhi
Allrounder,Roelof van der Merwe,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjAM,team_delhi
Middle-order batsman,Venugopal Rao,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjEM,team_delhi
Bowler,Vikas Mishra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjIM,team_delhi
Opening batsman,David Warner,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjMM,team_delhi
Middle-order batsman,Tejashwi Yadav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjQM,team_delhi
Bowler,Umesh Yadav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjUM,team_delhi
Middle-order batsman,Travis Birt,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjYM,team_delhi
Top-order batsman,Colin Ingram,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjcM,team_delhi
Wicketkeeper batsman,Adam Gilchrist,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjgM,team_punjab
Bowler,Parvinder Awana,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNjkM,team_punjab
Bowler,Love Ablish,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzAM,team_punjab
Allrounder,Amit Yadav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzEM,team_punjab
Allrounder,Azhar Mahmood,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzIM,team_punjab
Bowler,Bhargav Bhatt,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzMM,team_punjab
Allrounder,Bipul Sharma,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzQM,team_punjab
Bowler,Stuart Broad,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzUM,team_punjab
Allrounder,Piyush Chawla,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzYM,team_punjab
Batsman,Siddharth Chitnis,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzcM,team_punjab
Batsman,Paras Dogra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzgM,team_punjab
Allrounder,James Faulkner,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wNzkM,team_punjab
Bowler,Harmeet Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODAM,team_punjab
Bowler,Ryan Harris,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODEM,team_punjab
Allrounder,David Hussey,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODIM,team_punjab
Bowler,Praveen Kumar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODMM,team_punjab
Bowler,Vikramjeet Malik,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODQM,team_punjab
Allrounder,Mandeep Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODUM,team_punjab
Top-order batsman,Shaun Marsh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODYM,team_punjab
Allrounder,Dimitri Mascarenhas,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODcM,team_punjab
Middle-order batsman,David Miller,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODgM,team_punjab
Allrounder,Abhishek Nayar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wODkM,team_punjab
Bowler,Ramesh Powar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTAM,team_punjab
Bowler,Nathan Rimmington,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTEM,team_punjab
Batsman,Nitin Saini,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTIM,team_punjab
Allrounder,Rajagopal Sathish,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTMM,team_punjab
Bowler,Shalabh Srivastava,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTQM,team_punjab
Batsman,Sunny Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTUM,team_punjab
Batsman,Paul Valthaty,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTYM,team_punjab
Top-order batsman,Gautam Gambhir,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTcM,team_kolkata
Bowler,Sarabjit Ladda,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTgM,team_kolkata
Bowler,Lakshmipathy Balaji,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wOTkM,team_kolkata
