"id","name","role","team"
"111","Sunil Narine","Bowler","team_kolkata"
"112","Yusuf Pathan","Allrounder","team_kolkata"
"113","James Pattinson","Bowler","team_kolkata"
"114","Sanju Samson","Batsman","team_kolkata"
"115","Pradeep Sangwan","Bowler","team_kolkata"
"116","Iresh Saxena","Bowler","team_kolkata"
"117","Shami Ahmed","Bowler","team_kolkata"
"118","Shakib Al Hasan","Allrounder","team_kolkata"
"119","Laxmi Shukla","Allrounder","team_kolkata"
"120","Ryan ten Doeschate","Allrounder","team_kolkata"
"121","Manoj Tiwary","Batsman","team_kolkata"
"122","Jaydev Unadkat","Bowler","team_kolkata"
"123","Kumar Sangakkara","Wicketkeeper batsman","team_hyderabad"
"124","Ashish Reddy","Bowler","team_hyderabad"
"125","Anand Rajan","Bowler","team_hyderabad"
"126","Ankit Sharma","Bowler","team_hyderabad"
"127","Tekkami Atchuta Rao","Bowler","team_hyderabad"
"128","Akash Bhandari","Bowler","team_hyderabad"
"129","Darren Bravo","Batsman","team_hyderabad"
"130","Bharat Chipli","Batsman","team_hyderabad"
"131","Daniel Christian","Allrounder","team_hyderabad"
"132","Kedar Devdhar","Wicketkeeper","team_hyderabad"
"133","Shikhar Dhawan","Top-order batsman","team_hyderabad"
"134","Jean-Paul Duminy","Middle-order batsman","team_hyderabad"
"135","Manpreet Gony","Bowler","team_hyderabad"
"136","Daniel Harris","Batsman","team_hyderabad"
"137","Ishank Jaggi","Batsman","team_hyderabad"
"138","Abhishek Jhunjhunwala","Batsman","team_hyderabad"
"139","Chris Lynn","Batsman","team_hyderabad"
"140","Amit Mishra","Bowler","team_hyderabad"
"141","Tanmay Mishra","Middle-order batsman","team_hyderabad"
"142","Parthiv Patel","Wicketkeeper batsman","team_hyderabad"
"143","Veer Pratap Singh","Bowler","team_hyderabad"
"144","Syed Quadri","Allrounder","team_hyderabad"
"145","Dwaraka Ravi Teja","Batsman","team_hyderabad"
"146","Akshath Reddy","Batsman","team_hyderabad"
"147","Biplab Samantray","Batsman","team_hyderabad"
"148","Ishant Sharma","Bowler","team_hyderabad"
"149","Sneha Kishore","Bowler","team_hyderabad"
"150","Sunny Sohal","Batsman","team_hyderabad"
"151","Tanmay Srivastava","Top-order batsman","team_hyderabad"
"152","Dale Steyn","Bowler","team_hyderabad"
"153","TP Sudhindra","Bowler","team_hyderabad"
