match_keyname,player_keyname,player_name,runs,sixes,wickets,team_one_or_two
match_10,player_097,Gautam Gambhir,64,1,0,team-two
match_10,player_099,Lakshmipathy Balaji,0,0,4,team-two
match_10,player_100,Rajat Bhatia,4,0,0,team-two
match_10,player_101,Manvinder  Bisla,46,3,0,team-two
match_10,player_107,jacques Kallis,22,1,2,team-two
match_10,player_108,Brett Lee,8,1,0,team-two
match_10,player_112,Yusuf Pathan,1,0,0,team-two
match_10,player_118,Shakib Al Hasan,4,0,2,team-two
match_10,player_119,Laxmi Shukla,5,0,0,team-two
match_10,player_120,Ryan ten Doeschate,3,0,1,team-two
match_10,player_121,Manoj Tiwary,2,0,0,team-two
match_10,player_214,Daniel Vettori,20,1,1,team-one
match_10,player_215,Mayank Agarwal,5,0,0,team-one
match_10,player_220,AB de Villiers,10,0,0,team-one
match_10,player_223,Chris Gayle,2,0,0,team-one
match_10,player_226,Zaheer Khan,11,0,2,team-one
match_10,player_227,Virat Kohli,6,0,0,team-one
match_10,player_231,Muttiah Muralitharan,0,0,2,team-one
match_10,player_235,Harshal Patel,10,0,1,team-one
match_10,player_241,Saurabh Tiwary,18,0,0,team-one
match_10,player_242,Vinay Kumar,25,1,2,team-one
match_10,Player_238,Cheteshwar Pujara,6,1,0,team-one
