match_keyname,player_keyname,player_name,runs,sixes,wickets,team_one_or_two
match_12,player_162,James Franklin,2,0,0,team-one
match_12,player_164,Harbhajan Singh,18,2,0,team-one
match_12,player_167,Dinesh Karthik,0,0,0,team-one
match_12,player_169,Richard Levi,29,1,0,team-one
match_12,player_171,Lasith Malinga,0,0,2,team-one
match_12,player_174,Pragyan Ojha,0,0,0,team-one
match_12,player_175,Munaf Patel,0,0,4,team-one
match_12,player_178,Kieron Pollard,64,4,4,team-one
match_12,player_179,Ambati Rayudu,47,3,0,team-one
match_12,player_181,Rohit Sharma,21,1,0,team-one
match_12,player_184,Tirumalasetti Suman,10,1,0,team-one
match_12,player_244,Rahul Dravid,3,0,0,team-two
match_12,player_246,Johan Botha,2,0,0,team-two
match_12,player_249,Ankeet Chavan,4,0,1,team-two
match_12,player_252,Kevon Cooper,14,2,1,team-two
match_12,player_258,Brad Hogg,2,0,2,team-two
match_12,player_259,Ashok Menaria,20,1,0,team-two
match_12,player_263,Ajinkya Rahane,40,2,0,team-two
match_12,player_265,Owais Shah,76,5,0,team-two
match_12,player_267,Amit Singh,0,0,2,team-two
match_12,player_270,Siddharth Trivedi,5,0,0,team-two
match_12,player_256,Shreevats Goswami,0,0,0,team-two
