name,key
Bangalore,aglzfmNwLWxpdmVyGAsSBFRlYW0iDnRlYW1fYmFuZ2Fsb3JlDA
Chennai,aglzfmNwLWxpdmVyFgsSBFRlYW0iDHRlYW1fY2hlbm5haQw
Delhi,aglzfmNwLWxpdmVyFAsSBFRlYW0iCnRlYW1fZGVsaGkM
Hyderabad,aglzfmNwLWxpdmVyGAsSBFRlYW0iDnRlYW1faHlkZXJhYmFkDA
Kolkata,aglzfmNwLWxpdmVyFgsSBFRlYW0iDHRlYW1fa29sa2F0YQw
Mumbai,aglzfmNwLWxpdmVyFQsSBFRlYW0iC3RlYW1fbXVtYmFpDA
Pune,aglzfmNwLWxpdmVyEwsSBFRlYW0iCXRlYW1fcHVuZQw
Punjab,aglzfmNwLWxpdmVyFQsSBFRlYW0iC3RlYW1fcHVuamFiDA
Rajasthan,aglzfmNwLWxpdmVyGAsSBFRlYW0iDnRlYW1fcmFqYXN0aGFuDA
