role,name,key,team
Allrounder,Yogesh Nagar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1MAw,team_delhi
Middle-order batsman,Prashant Naik,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1MQw,team_delhi
Allrounder,Pawan Negi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1Mgw,team_delhi
Wicketkeeper batsman,Naman Ojha,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1Mww,team_delhi
Allrounder,Irfan Pathan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1NAw,team_delhi
Top-order batsman,Kevin Pietersen,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1NQw,team_delhi
Batsman,Kuldeep Raval,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1Ngw,team_delhi
Allrounder,Andre Russell,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1Nww,team_delhi
Bowler,Aavishkar Salvi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1OAw,team_delhi
Middle-order batsman,Ross Taylor,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA1OQw,team_delhi
Allrounder,Roelof van der Merwe,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2MAw,team_delhi
Middle-order batsman,Venugopal Rao,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2MQw,team_delhi
Bowler,Vikas Mishra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2Mgw,team_delhi
Opening batsman,David Warner,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2Mww,team_delhi
Middle-order batsman,Tejashwi Yadav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2NAw,team_delhi
Bowler,Umesh Yadav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2NQw,team_delhi
Middle-order batsman,Travis Birt,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2Ngw,team_delhi
Top-order batsman,Colin Ingram,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2Nww,team_delhi
Wicketkeeper batsman,Adam Gilchrist,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2OAw,team_punjab
Bowler,Parvinder Awana,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA2OQw,team_punjab
Bowler,Love Ablish,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3MAw,team_punjab
